Title,Author,Image,Website,Quote
Gender Queer: A Memoir,"Kobabe, Maia",./assets/genderqueer.png,https://www.goodreads.com/book/show/42837514-gender-queer,"“Some people are born in the mountains, while others are born by the sea. Some people are happy to live in the place they were born, while others must make a journey to reach the climate in which they can flourish and grow. Between the ocean and the mountains is a wild forest. That is where I want to make my home.”"
The Bluest Eye,"Morrison, Toni",./assets/thebluesteye.png,https://www.goodreads.com/book/show/292327.The_Bluest_Eye,"“Love is never any better than the lover. Wicked people love wickedly, violent people love violently, weak people love weakly, stupid people love stupidly, but the love of a free man is never safe. There is no gift for the beloved. The lover alone possesses his gift of love. The loved one is shorn, neutralized, frozen in the glare of the lover’s inward eye.”"
All Boys Aren't Blue,"Johnson, George M.",./assets/allboysarentblue.png,https://www.goodreads.com/book/show/44280883-all-boys-aren-t-blue?from_search=true&from_srp=true&qid=7aFQIdauTN&rank=1,"“When people ask me how I got into activism, I often say, “The first person you are ever an activist for is yourself.” If I wasn’t gonna fight for me, who else was?”"
Out of Darkness,"Pérez, Ashley Hope",./assets/outofdarkness.png,https://www.goodreads.com/book/show/25256386-out-of-darkness?from_search=true&from_srp=true&qid=q0fo6NfA1W&rank=1,"“In the shade, the air smelled of true autumn.”"
Looking for Alaska,"Green, John",./assets/lookingforalaska.png,https://www.goodreads.com/book/show/99561.Looking_for_Alaska?from_search=true&from_srp=true&qid=rg9X5N6dej&rank=1,“The only way out of the labyrinth of suffering is to forgive.”
Thirteen Reasons Why,"Asher, Jay",./assets/thirteenreasonswhy.png,https://www.goodreads.com/book/show/1217100.Thirteen_Reasons_Why?from_search=true&from_srp=true&qid=nkKOnGdYTo&rank=1,"“You don’t know what goes on in anyone’s life but your own. And when you mess with one part of a person’s life, you’re not messing with just that part. Unfortunately, you can’t be that precise and selective. When you mess with one part of a person’s life, you’re messing with their entire life. Everything. . . affects everything.”"
Me and Earl and the Dying Girl,"Andrews, Jesse",./assets/meearlandthedyinggirl.png,https://www.goodreads.com/book/show/12700353-me-and-earl-and-the-dying-girl?from_search=true&from_srp=true&qid=EoPGjb6kRm&rank=1,"“If after reading this book you come to my home and brutally murder me, I do not blame you.”"
The Perks of Being a Wallflower,"Chbosky, Stephen",./assets/theperksofbeingawallflower.png,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower?from_search=true&from_srp=true&qid=woauvxPDrZ&rank=1,“We accept the love we think we deserve.”
Tricks,"Hopkins, Ellen",./assets/tricks.png,https://www.goodreads.com/book/show/5510384-tricks?from_search=true&from_srp=true&qid=TTcvE9NQWr&rank=4,“Love is more than blind. It’s brain-dead.”
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",./assets/theabsolutelytruediaryofaparttimeindian.png,https://www.goodreads.com/book/show/693208.The_Absolutely_True_Diary_of_a_Part_Time_Indian?from_search=true&from_srp=true&qid=7ozcUFotmp&rank=1,“Life is a constant struggle between being an individual and being a member of the community.”
The Hate U Give,"Thomas, Angie",./assets/thehateyougive.png,https://www.goodreads.com/book/show/32075671-the-hate-u-give?from_search=true&from_srp=true&qid=FgzmfejckF&rank=1,“What's the point of having a voice if you're gonna be silent in those moments you shouldn't be?”
This Book Is Gay,"Dawson, Juno",./assets/thisbookisgay.png,https://www.goodreads.com/book/show/22074335-this-book-is-gay?from_search=true&from_srp=true&qid=0TehsH42kl&rank=1,“Living with stress and secrets is both stressful and secretive.”
Sold,"McCormick, Patricia",./assets/sold.png,https://www.goodreads.com/book/show/201114.Sold?from_search=true&from_srp=true&qid=QLUbBtTt0a&rank=3,“Simply to endure is to triumph.”
Flamer,"Curato, Mike",./assets/flamer.png,https://www.goodreads.com/book/show/52751434-flamer?from_search=true&from_srp=true&qid=noadoB9K14&rank=1,"“And although living is scary when we continue to suffer, I would do it all over again to be able to write this book for you. To hope. To dream. To want love. These are dangerous acts. Fear and hope are bound up together inside of us, alongside our flaws and our divinity. In this darkness, we can find an inner light to guide us. And there is light in you, even if you can't see it.”"
The Kite Runner,"Hosseini, Khaled",./assets/thekiterunner.png,https://www.goodreads.com/book/show/77203.The_Kite_Runner?from_search=true&from_srp=true&qid=WBEbAnAIKO&rank=1,"“It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”"
